"","term","category","estimate","conf.low","conf.high","method","qval","model"
"1","apINDPOV",2,1.25003593984099,1.14120185177945,1.37100981143922,"Poisson","5-9.9%","Poisson"
"2","apINDPOV",3,1.77298765353455,1.62896092029,1.93293687153652,"Poisson","10-19.9%","Poisson"
"3","apINDPOV",4,2.18412687367287,2.00768861680191,2.38006211152063,"Poisson","20-100%","Poisson"
"4","qICEwnhinc",1,2.39354974769174,2.20994098832175,2.59653341386175,"Poisson","[-0.711,0.0557]","Poisson"
"5","qICEwnhinc",2,1.84747907948103,1.69530949883661,2.01583525186081,"Poisson","(0.0557,0.238]","Poisson"
"6","qICEwnhinc",3,1.46452252922043,1.32889294763065,1.61494089322853,"Poisson","(0.238,0.358]","Poisson"
"7","qICEwnhinc",4,1.3451668773809,1.21967703450206,1.48436771124166,"Poisson","(0.358,0.464]","Poisson"
"8","qsvi",2,1.08231889671017,0.972756344243749,1.2050175163656,"Poisson","(0.125,0.246]","Poisson"
"9","qsvi",3,1.18454298605236,1.07539587860529,1.30649655715459,"Poisson","(0.246,0.407]","Poisson"
"10","qsvi",4,1.55827881694304,1.42267524899033,1.70965770859778,"Poisson","(0.407,0.683]","Poisson"
"11","qsvi",5,2.14567735995643,1.96776095385351,2.34419836676169,"Poisson","(0.683,1]","Poisson"
"12","apINDPOV",2,1.25003593984099,1.09422345145935,1.43198521142954,"Quasipoisson","5-9.9%","Quasipoisson"
"13","apINDPOV",3,1.77298765353455,1.56674580627156,2.01351033998004,"Quasipoisson","10-19.9%","Quasipoisson"
"14","apINDPOV",4,2.18412687367287,1.93146993346283,2.47876045892844,"Quasipoisson","20-100%","Quasipoisson"
"15","qICEwnhinc",1,2.39354974769174,2.13170962054386,2.69664062471816,"Quasipoisson","[-0.711,0.0557]","Quasipoisson"
"16","qICEwnhinc",2,1.84747907948103,1.63051423252629,2.0989065941713,"Quasipoisson","(0.0557,0.238]","Quasipoisson"
"17","qICEwnhinc",3,1.46452252922043,1.27125387762259,1.68927743604964,"Quasipoisson","(0.238,0.358]","Quasipoisson"
"18","qICEwnhinc",4,1.3451668773809,1.16635579762617,1.55316949154335,"Quasipoisson","(0.358,0.464]","Quasipoisson"
"19","qsvi",2,1.08231889671017,0.924815527891816,1.26846976893447,"Quasipoisson","(0.125,0.246]","Quasipoisson"
"20","qsvi",3,1.18454298605236,1.027545373931,1.36946966032259,"Quasipoisson","(0.246,0.407]","Quasipoisson"
"21","qsvi",4,1.55827881694304,1.36318179065168,1.78777959079474,"Quasipoisson","(0.407,0.683]","Quasipoisson"
"22","qsvi",5,2.14567735995643,1.88967292578003,2.44661728956115,"Quasipoisson","(0.683,1]","Quasipoisson"
"23","apINDPOV",2,1.19263484367808,1.04475848305844,1.36205183218232,"Negative binomial","5-9.9%","Negative binomial"
"24","apINDPOV",3,1.69111208284641,1.49177230144241,1.91826353507869,"Negative binomial","10-19.9%","Negative binomial"
"25","apINDPOV",4,2.17483957145916,1.91918169501647,2.46615690168543,"Negative binomial","20-100%","Negative binomial"
"26","qICEwnhinc",1,2.5623179316318,2.29482087742856,2.86350679344914,"Negative binomial","[-0.711,0.0557]","Negative binomial"
"27","qICEwnhinc",2,1.78480999274647,1.58566182728169,2.01032644128377,"Negative binomial","(0.0557,0.238]","Negative binomial"
"28","qICEwnhinc",3,1.42881329354727,1.24961309915196,1.63432240739324,"Negative binomial","(0.238,0.358]","Negative binomial"
"29","qICEwnhinc",4,1.34032192948871,1.17285470333603,1.53221736443273,"Negative binomial","(0.358,0.464]","Negative binomial"
"30","qsvi",2,1.0482462669874,0.910869978911617,1.206784648574,"Negative binomial","(0.125,0.246]","Negative binomial"
"31","qsvi",3,1.15465244014853,1.01374281523199,1.31608094602494,"Negative binomial","(0.246,0.407]","Negative binomial"
"32","qsvi",4,1.48471864978687,1.31275693981131,1.6807198540221,"Negative binomial","(0.407,0.683]","Negative binomial"
"33","qsvi",5,2.28372727999266,2.0301957358388,2.5716568818897,"Negative binomial","(0.683,1]","Negative binomial"
"34","apINDPOV",2,1.15355169132456,0.957676529517937,1.38984513773822,"BYM","5-9.9%","BYM"
"35","apINDPOV",3,1.52765879230257,1.27292827664226,1.8343475145517,"BYM","10-19.9%","BYM"
