"apINDPOV","age","num","den","wt","rate_i"
"0-4.9%","0-4",27,33162,0.069135,5.62886737832459
"0-4.9%","5-9",3,31593,0.072533,0.688757003133606
"0-4.9%","10-14",1,33800,0.073032,0.21607100591716
"0-4.9%","15-19",7,38060,0.072169,1.32733315817131
"0-4.9%","20-24",12,30408,0.066478,2.62344119968429
"0-4.9%","25-29",20,45937,0.064529,2.80945642945774
"0-4.9%","30-34",31,43138,0.071044,5.10539199777458
"0-4.9%","35-44",51,77292,0.162613,10.7297818661698
"0-4.9%","45-54",145,85527,0.134834,22.8593660481485
"0-4.9%","55-64",330,81124,0.087247,35.4907425669346
"20-100%","0-4",156,107867,0.069135,9.9984796091483
"20-100%","5-9",15,94231,0.072533,1.15460411117361
"20-100%","10-14",11,94853,0.073032,0.846944218949322
"20-100%","15-19",64,209056,0.072169,2.20936782488902
"20-100%","20-24",115,308641,0.066478,2.47697810725082
"20-100%","25-29",168,254985,0.064529,4.25157244543797
"20-100%","30-34",176,182451,0.071044,6.85320661437865
"20-100%","35-44",422,232327,0.162613,29.5371119155329
"20-100%","45-54",867,208522,0.134834,56.0617479210827
"20-100%","55-64",1580,177590,0.087247,77.6227602905569
