"GEOID","agecat","sex","deaths","expected"
"25017339100","Age0-4","Female",0,0.460549899972632
"25017339100","Age0-4","Male",0,0.566073954723643
"25017339100","Age10-14","Female",1,0.0600856991542424
"25017339100","Age10-14","Male",0,0.0589302049397378
"25017339100","Age15-19","Female",0,0.0466953276408528
"25017339100","Age15-19","Male",0,0.174766138538864
"25017339100","Age20-24","Female",0,0.463293670216932
"25017339100","Age20-24","Male",0,0.499178103871355
"25017339100","Age25-29","Female",0,1.0112764750107
"25017339100","Age25-29","Male",1,0.571591051093006
"25017339100","Age30-34","Female",1,1.17216098260928
"25017339100","Age30-34","Male",0,1.51374163705063
"25017339100","Age35-44","Female",1,2.89410653597109
"25017339100","Age35-44","Male",2,2.60531034236039
"25017339100","Age45-54","Female",6,7.90227664598863
"25017339100","Age45-54","Male",8,7.94013186345445
"25017339100","Age5-9","Female",0,0.0728415722968986
"25017339100","Age5-9","Male",0,0.075051468305906
"25017339100","Age55-64","Female",13,15.6345020592529
"25017339100","Age55-64","Male",17,16.3950637076515
"25017339100","Age65-74","Female",43,32.9382992512749
"25017339100","Age65-74","Male",27,16.8052547200382
"25017339100","Age75-84","Female",79,81.2324157761772
"25017339100","Age75-84","Male",58,37.1288522493684
"25017339100","Age85+","Female",181,179.734126273332
"25017339100","Age85+","Male",81,63.6153244460481
"25017339200","Age0-4","Female",0,0.692166257434597
"25017339200","Age0-4","Male",1,0.866549229268894
"25017339200","Age10-14","Female",0,0.050552871884579
"25017339200","Age10-14","Male",0,0.0745293768355507
"25017339200","Age15-19","Female",0,0.0873830692694322
"25017339200","Age15-19","Male",1,0.273072091466975
"25017339200","Age20-24","Female",1,0.487003028167176
"25017339200","Age20-24","Male",2,0.524169048737829
"25017339200","Age25-29","Female",0,1.01027718995635
"25017339200","Age25-29","Male",1,0.721483809246767
"25017339200","Age30-34","Female",0,1.26804327157527
"25017339200","Age30-34","Male",4,1.24047711349755
"25017339200","Age35-44","Female",0,2.45783994562301
"25017339200","Age35-44","Male",1,2.86645583658284
"25017339200","Age45-54","Female",4,7.63729012372794
"25017339200","Age45-54","Male",2,7.34391218836788
"25017339200","Age5-9","Female",0,0.0947705403862799
"25017339200","Age5-9","Male",0,0.0579672722362717
"25017339200","Age55-64","Female",10,14.8805539904057
"25017339200","Age55-64","Male",20,12.0896234197607
"25017339200","Age65-74","Female",14,24.0203107465079
"25017339200","Age65-74","Male",26,20.7190118192827
"25017339200","Age75-84","Female",22,40.0941486607353
"25017339200","Age75-84","Male",31,38.9665007296521
"25017339200","Age85+","Female",59,49.4477194384129
"25017339200","Age85+","Male",51,35.2801144307778
"25017339300","Age0-4","Female",0,0.571439584626237
"25017339300","Age0-4","Male",0,0.445347281915283
"25017339300","Age10-14","Female",0,0.0256134550881867
"25017339300","Age10-14","Male",0,0.0287910641780745
"25017339300","Age15-19","Female",0,0.0611681484886025
"25017339300","Age15-19","Male",0,0.110048052861191
"25017339300","Age20-24","Female",0,0.293483403816535
"25017339300","Age20-24","Male",0,0.282589915028585
"25017339300","Age25-29","Female",1,0.364739044840817
"25017339300","Age25-29","Male",0,0.596573177451966
"25017339300","Age30-34","Female",1,0.895300873219968
"25017339300","Age30-34","Male",2,0.737095096426078
"25017339300","Age35-44","Female",1,1.82801845955711
"25017339300","Age35-44","Male",2,1.22431152291346
"25017339300","Age45-54","Female",2,3.14513765111803
"25017339300","Age45-54","Male",2,2.11989217808557
"25017339300","Age5-9","Female",0,0.0117294480478086
"25017339300","Age5-9","Male",0,0.0121544280495408
"25017339300","Age55-64","Female",8,8.5645855189224
"25017339300","Age55-64","Male",9,5.6347697777003
"25017339300","Age65-74","Female",5,10.5014169494994
"25017339300","Age65-74","Male",9,6.81172991318882
"25017339300","Age75-84","Female",12,21.4253106905804
"25017339300","Age75-84","Male",8,13.824128340316
"25017339300","Age85+","Female",37,24.7238597192065
"25017339300","Age85+","Male",13,13.056420301154
"25017339400","Age0-4","Female",0,0.626884426953039
"25017339400","Age0-4","Male",1,0.251290333771475
"25017339400","Age10-14","Female",0,0.0180064515093643
"25017339400","Age10-14","Male",0,0.0129030187286354
"25017339400","Age15-19","Female",0,0.066902662409409
"25017339400","Age15-19","Male",0,0.0922983669158377
"25017339400","Age20-24","Female",0,1.02462873952541
"25017339400","Age20-24","Male",1,0.826623560967969
"25017339400","Age25-29","Female",0,1.44496618860225
"25017339400","Age25-29","Male",2,1.33904197284026
"25017339400","Age30-34","Female",2,1.04271989250518
"25017339400","Age30-34","Male",1,0.938447903254665
"25017339400","Age35-44","Female",3,1.56072836547061
"25017339400","Age35-44","Male",3,1.90482595785783
"25017339400","Age45-54","Female",3,2.12304677954106
"25017339400","Age45-54","Male",2,1.62777435102999
"25017339400","Age5-9","Female",0,0.0118144440481551
"25017339400","Age5-9","Male",0,0.0225239400918064
"25017339400","Age55-64","Female",3,8.22067938225525
"25017339400","Age55-64","Male",5,6.50114869891948
"25017339400","Age65-74","Female",10,10.2773468865656
"25017339400","Age65-74","Male",17,4.63078130063275
"25017339400","Age75-84","Female",17,11.9447151218441
"25017339400","Age75-84","Male",15,11.4853030017731
"25017339400","Age85+","Female",27,36.3912991372589
"25017339400","Age85+","Male",14,7.50049676874803
"25017339500","Age0-4","Female",2,0.627778698603471
"25017339500","Age0-4","Male",1,0.305840904447845
"25017339500","Age10-14","Female",0,0.0345685352505978
"25017339500","Age10-14","Male",0,0.0197396928311213
"25017339500","Age15-19","Female",0,0.840242825443883
"25017339500","Age15-19","Male",0,0.776890100223545
"25017339500","Age20-24","Female",1,2.01785859960321
"25017339500","Age20-24","Male",1,1.81793104067142
"25017339500","Age25-29","Female",1,1.23911346740442
"25017339500","Age25-29","Male",0,1.56687896523398
"25017339500","Age30-34","Female",1,1.08946250837611
"25017339500","Age30-34","Male",0,1.24167564210962
"25017339500","Age35-44","Female",0,1.8910006081637
"25017339500","Age35-44","Male",5,2.14600150252209
"25017339500","Age45-54","Female",2,3.5173806228652
"25017339500","Age45-54","Male",3,4.03788986302014
"25017339500","Age5-9","Female",0,0.0341683921392686
"25017339500","Age5-9","Male",1,0.0281336761146714
"25017339500","Age55-64","Female",4,7.67836585904935
"25017339500","Age55-64","Male",9,6.65326102859918
"25017339500","Age65-74","Female",4,11.6217672641686
"25017339500","Age65-74","Male",14,12.6823655620555
"25017339500","Age75-84","Female",14,13.9076578166926
"25017339500","Age75-84","Male",16,7.89353551758226
"25017339500","Age85+","Female",40,30.2797832516124
"25017339500","Age85+","Male",30,19.1679361868005
"25017339600","Age0-4","Female",1,0.407787872597127
"25017339600","Age0-4","Male",0,0.470386888127387
"25017339600","Age10-14","Female",0,0.0376498531559436
"25017339600","Age10-14","Male",0,0.0199322752002054
"25017339600","Age15-19","Female",0,0.157289524684978
"25017339600","Age15-19","Male",0,0.0652642298606071
"25017339600","Age20-24","Female",0,2.38503325110293
"25017339600","Age20-24","Male",0,1.25211041715613
"25017339600","Age25-29","Female",0,2.20841997013207
"25017339600","Age25-29","Male",1,2.08450862339163
"25017339600","Age30-34","Female",0,1.49456517925743
"25017339600","Age30-34","Male",2,2.47016746948642
"25017339600","Age35-44","Female",0,2.28732729939541
"25017339600","Age35-44","Male",7,2.33494794834186
"25017339600","Age45-54","Female",3,4.18615613142791
"25017339600","Age45-54","Male",7,5.6120359893069
"25017339600","Age5-9","Female",0,0.00688467602806159
"25017339600","Age5-9","Male",0,0.00747964803048667
"25017339600","Age55-64","Female",5,8.90187807603827
"25017339600","Age55-64","Male",12,7.14927949494604
"25017339600","Age65-74","Female",12,11.0690611089318
"25017339600","Age65-74","Male",8,9.60513669776406
"25017339600","Age75-84","Female",23,19.6711916866733
"25017339600","Age75-84","Male",11,19.5876622102967
"25017339600","Age85+","Female",43,52.9201716461666
"25017339600","Age85+","Male",27,17.778955303699
"25017339700","Age0-4","Female",2,0.510629112396841
"25017339700","Age0-4","Male",1,0.308523719399142
"25017339700","Age10-14","Female",0,0.024457960873682
"25017339700","Age10-14","Male",0,0.0804031390926161
"25017339700","Age15-19","Female",0,0.117420999330799
"25017339700","Age15-19","Male",0,0.128343882989478
"25017339700","Age20-24","Female",1,0.66322122914872
"25017339700","Age20-24","Male",0,0.825982767509855
"25017339700","Age25-29","Female",0,1.78772096224718
"25017339700","Age25-29","Male",2,1.16416708832754
"25017339700","Age30-34","Female",0,2.0410942263636
"25017339700","Age30-34","Male",1,1.2524623996183
"25017339700","Age35-44","Female",2,2.47012914535112
"25017339700","Age35-44","Male",1,1.77732551067864
"25017339700","Age45-54","Female",4,3.11990083947415
"25017339700","Age45-54","Male",9,2.14512898972945
"25017339700","Age5-9","Female",1,0.0374832361527798
"25017339700","Age5-9","Male",0,0.027283716111207
"25017339700","Age55-64","Female",5,8.46538182565303
"25017339700","Age55-64","Male",11,6.83844125603534
"25017339700","Age65-74","Female",11,8.00677024883598
"25017339700","Age65-74","Male",8,9.48563266419934
"25017339700","Age75-84","Female",16,23.555312338182
"25017339700","Age75-84","Male",14,10.4411845470665
"25017339700","Age85+","Female",46,29.863088986682
"25017339700","Age85+","Male",25,11.250745153122
"25017339801","Age0-4","Female",1,0.678752182678112
"25017339801","Age0-4","Male",0,0.745822556460535
"25017339801","Age10-14","Female",0,0.0019258236908411
