"GEOID","race","agecat","sex","acs.pop"
"25017339100","total","Age0-4","Female",515
"25017339100","total","Age0-4","Male",633
"25017339100","total","Age10-14","Female",624
"25017339100","total","Age10-14","Male",612
"25017339100","total","Age15-19","Female",171
"25017339100","total","Age15-19","Male",640
"25017339100","total","Age20-24","Female",723
"25017339100","total","Age20-24","Male",779
"25017339100","total","Age25-29","Female",1012
"25017339100","total","Age25-29","Male",572
"25017339100","total","Age30-34","Female",978
"25017339100","total","Age30-34","Male",1263
"25017339100","total","Age35-44","Female",1884
"25017339100","total","Age35-44","Male",1696
"25017339100","total","Age45-54","Female",2505
"25017339100","total","Age45-54","Male",2517
"25017339100","total","Age5-9","Female",857
"25017339100","total","Age5-9","Male",883
"25017339100","total","Age55-64","Female",2364
"25017339100","total","Age55-64","Male",2479
"25017339100","total","Age65-74","Female",2205
"25017339100","total","Age65-74","Male",1125
"25017339100","total","Age75-84","Female",1945
"25017339100","total","Age75-84","Male",889
"25017339100","total","Age85+","Female",1294
"25017339100","total","Age85+","Male",458
"25017339200","total","Age0-4","Female",774
"25017339200","total","Age0-4","Male",969
"25017339200","total","Age10-14","Female",525
"25017339200","total","Age10-14","Male",774
"25017339200","total","Age15-19","Female",320
"25017339200","total","Age15-19","Male",1000
"25017339200","total","Age20-24","Female",760
"25017339200","total","Age20-24","Male",818
"25017339200","total","Age25-29","Female",1011
"25017339200","total","Age25-29","Male",722
"25017339200","total","Age30-34","Female",1058
"25017339200","total","Age30-34","Male",1035
"25017339200","total","Age35-44","Female",1600
"25017339200","total","Age35-44","Male",1866
"25017339200","total","Age45-54","Female",2421
"25017339200","total","Age45-54","Male",2328
"25017339200","total","Age5-9","Female",1115
"25017339200","total","Age5-9","Male",682
"25017339200","total","Age55-64","Female",2250
"25017339200","total","Age55-64","Male",1828
"25017339200","total","Age65-74","Female",1608
"25017339200","total","Age65-74","Male",1387
"25017339200","total","Age75-84","Female",960
"25017339200","total","Age75-84","Male",933
"25017339200","total","Age85+","Female",356
"25017339200","total","Age85+","Male",254
"25017339300","total","Age0-4","Female",639
"25017339300","total","Age0-4","Male",498
"25017339300","total","Age10-14","Female",266
"25017339300","total","Age10-14","Male",299
"25017339300","total","Age15-19","Female",224
"25017339300","total","Age15-19","Male",403
"25017339300","total","Age20-24","Female",458
"25017339300","total","Age20-24","Male",441
"25017339300","total","Age25-29","Female",365
"25017339300","total","Age25-29","Male",597
"25017339300","total","Age30-34","Female",747
"25017339300","total","Age30-34","Male",615
"25017339300","total","Age35-44","Female",1190
"25017339300","total","Age35-44","Male",797
"25017339300","total","Age45-54","Female",997
"25017339300","total","Age45-54","Male",672
"25017339300","total","Age5-9","Female",138
"25017339300","total","Age5-9","Male",143
"25017339300","total","Age55-64","Female",1295
"25017339300","total","Age55-64","Male",852
"25017339300","total","Age65-74","Female",703
"25017339300","total","Age65-74","Male",456
"25017339300","total","Age75-84","Female",513
"25017339300","total","Age75-84","Male",331
"25017339300","total","Age85+","Female",178
"25017339300","total","Age85+","Male",94
"25017339400","total","Age0-4","Female",701
"25017339400","total","Age0-4","Male",281
"25017339400","total","Age10-14","Female",187
"25017339400","total","Age10-14","Male",134
"25017339400","total","Age15-19","Female",245
"25017339400","total","Age15-19","Male",338
"25017339400","total","Age20-24","Female",1599
"25017339400","total","Age20-24","Male",1290
"25017339400","total","Age25-29","Female",1446
"25017339400","total","Age25-29","Male",1340
"25017339400","total","Age30-34","Female",870
"25017339400","total","Age30-34","Male",783
"25017339400","total","Age35-44","Female",1016
"25017339400","total","Age35-44","Male",1240
"25017339400","total","Age45-54","Female",673
"25017339400","total","Age45-54","Male",516
"25017339400","total","Age5-9","Female",139
"25017339400","total","Age5-9","Male",265
"25017339400","total","Age55-64","Female",1243
"25017339400","total","Age55-64","Male",983
"25017339400","total","Age65-74","Female",688
"25017339400","total","Age65-74","Male",310
"25017339400","total","Age75-84","Female",286
"25017339400","total","Age75-84","Male",275
"25017339400","total","Age85+","Female",262
"25017339400","total","Age85+","Male",54
"25017339500","total","Age0-4","Female",702
"25017339500","total","Age0-4","Male",342
