"racegroup","absm","qval","estimate_aggregated","conf.low_aggregated","conf.high_aggregated","estimate_robust","conf.low_robust","conf.high_robust","estimate_multilevel","conf.low_multilevel","conf.high_multilevel","estimate_BYM","conf.low_BYM","conf.high_BYM"
"Non-Hispanic White","apINDPOV","0-4.9%",1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
"Non-Hispanic White","apINDPOV","5-9.9%",1.27881907133857,0.932527389904925,1.75370529050732,1.27961645926071,1.10469349763047,1.4822376399636,1.19901494207261,1.06942572257439,1.34430732398376,1.2542959940398,1.01976180810991,1.54228420656417
"Non-Hispanic White","apINDPOV","10-19.9%",1.99063712375718,1.4742540126947,2.68789240141676,1.9822040136261,1.72786752771822,2.2739780038717,1.62978380932694,1.44713637285979,1.83548372838915,1.86754268033535,1.51930252931092,2.29596652372979
"Non-Hispanic White","apINDPOV","20-100%",2.48926877050221,1.80533327842656,3.43230753337586,2.40012878971895,2.04541145272363,2.8163615685084,1.86904861950382,1.64477328021883,2.12390533338697,2.07289822664112,1.66490867083566,2.58070314661806
"Black","apINDPOV","0-4.9%",1.28928740832532,0.460636078950352,3.6086231566012,1.29478087629541,0.888871182018738,1.88605227791598,1.18617304492877,0.843327786462367,1.66839811885929,1.14482983149085,0.793010769292567,1.65260193934041
"Black","apINDPOV","5-9.9%",1.68670806778249,0.990422126588391,2.87249651390804,1.67763183280687,1.33976882817779,2.10069715554947,1.41859906358581,1.1786025223286,1.70746563415673,1.41549211398375,1.09131256425505,1.83450777723802
"Black","apINDPOV","10-19.9%",1.75653292725462,1.22584453021689,2.51696511953583,1.7890229028729,1.4853975180982,2.15471138736088,1.37547282869887,1.19530014863412,1.58280370386534,1.53898548045747,1.23054696435612,1.92400172988952
"Black","apINDPOV","20-100%",2.3039912026208,1.68577490440002,3.14892305485077,2.34336855579058,2.03028109403895,2.70473689795521,1.53414079334377,1.34098107850547,1.75512392495838,1.89636548775156,1.51578826330033,2.36952109819959
"Non-Hispanic White","qICEwnhinc","(0.464,0.747]",1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA
"Non-Hispanic White","qICEwnhinc","(0.358,0.464]",1.3741314269351,0.986448104466322,1.91417791766375,1.38723748648275,1.18370597242817,1.62576508755408,1.35238074575439,1.21050126784273,1.51088952161662,1.32481276013526,1.10763929132129,1.58461690276902
