"","term","category","estimate","conf.low","conf.high","method","qval","model"
"1","apINDPOV",2,1.06682473926723,0.913532090179461,1.24961004683759,"Poisson","5-9.9%","Poisson"
"2","apINDPOV",3,1.34727563474775,1.16381748463846,1.56570277332584,"Poisson","10-19.9%","Poisson"
"3","apINDPOV",4,1.18684482704722,1.01902490058802,1.38685542176557,"Poisson","20-100%","Poisson"
"4","qICEwnhinc",1,1.32675802435504,1.14787454925255,1.53867877032089,"Poisson","[-0.711,0.0557]","Poisson"
"5","qICEwnhinc",2,1.44407686328563,1.24066369075805,1.68537085997738,"Poisson","(0.0557,0.238]","Poisson"
"6","qICEwnhinc",3,1.36841658182526,1.15926445627795,1.61736142324006,"Poisson","(0.238,0.358]","Poisson"
"7","qICEwnhinc",4,1.16492705271261,0.981482646820803,1.38361497769559,"Poisson","(0.358,0.464]","Poisson"
"8","qsvi",2,0.919362060509589,0.762710111158126,1.10985398110409,"Poisson","(0.125,0.246]","Poisson"
"9","qsvi",3,0.87901071730153,0.742721333678086,1.04402789132564,"Poisson","(0.246,0.407]","Poisson"
"10","qsvi",4,1.04187657398089,0.885143778398551,1.23144880838712,"Poisson","(0.407,0.683]","Poisson"
"11","qsvi",5,1.05077916264887,0.896744398735111,1.23695167670213,"Poisson","(0.683,1]","Poisson"
"12","apINDPOV",2,1.06682473926723,0.862406393490929,1.32726780013448,"Quasipoisson","5-9.9%","Quasipoisson"
"13","apINDPOV",3,1.34727563474775,1.10255471934715,1.65842433933351,"Quasipoisson","10-19.9%","Quasipoisson"
"14","apINDPOV",4,1.18684482704722,0.963031446037183,1.47180820992718,"Quasipoisson","20-100%","Quasipoisson"
"15","qICEwnhinc",1,1.32675802435504,1.08479440358758,1.6333552872031,"Quasipoisson","[-0.711,0.0557]","Quasipoisson"
"16","qICEwnhinc",2,1.44407686328563,1.16901182715928,1.79325108151616,"Quasipoisson","(0.0557,0.238]","Quasipoisson"
"17","qICEwnhinc",3,1.36841658182526,1.0858008140786,1.72888005738499,"Quasipoisson","(0.238,0.358]","Quasipoisson"
"18","qICEwnhinc",4,1.16492705271261,0.917133496339564,1.48166771463265,"Quasipoisson","(0.358,0.464]","Quasipoisson"
"19","qsvi",2,0.919362060509589,0.711315390715364,1.19163784126448,"Quasipoisson","(0.125,0.246]","Quasipoisson"
"20","qsvi",3,0.87901071730153,0.697843688365132,1.11470547990556,"Quasipoisson","(0.246,0.407]","Quasipoisson"
"21","qsvi",4,1.04187657398089,0.833489226918719,1.31259610122017,"Quasipoisson","(0.407,0.683]","Quasipoisson"
"22","qsvi",5,1.05077916264887,0.845947663337338,1.31661093616517,"Quasipoisson","(0.683,1]","Quasipoisson"
"23","apINDPOV",2,1.04623740182593,0.873692046351691,1.25548814320537,"Negative binomial","5-9.9%","Negative binomial"
"24","apINDPOV",3,1.32913049340617,1.12039586113137,1.58102739050784,"Negative binomial","10-19.9%","Negative binomial"
"25","apINDPOV",4,1.1765306232596,0.985939638866289,1.40721937565835,"Negative binomial","20-100%","Negative binomial"
"26","qICEwnhinc",1,1.31726909053039,1.11696093751647,1.55749820802554,"Negative binomial","[-0.711,0.0557]","Negative binomial"
"27","qICEwnhinc",2,1.417395722464,1.19146808958319,1.68961470860389,"Negative binomial","(0.0557,0.238]","Negative binomial"
"28","qICEwnhinc",3,1.33808099027466,1.10494067701506,1.62199058697228,"Negative binomial","(0.238,0.358]","Negative binomial"
"29","qICEwnhinc",4,1.14191584109701,0.939529697734699,1.38866110277045,"Negative binomial","(0.358,0.464]","Negative binomial"
"30","qsvi",2,0.900608063126274,0.729066132464957,1.11378729367325,"Negative binomial","(0.125,0.246]","Negative binomial"
"31","qsvi",3,0.86259262734949,0.710996573454227,1.04931018804088,"Negative binomial","(0.246,0.407]","Negative binomial"
"32","qsvi",4,1.03110108388225,0.855655273618387,1.2464094706065,"Negative binomial","(0.407,0.683]","Negative binomial"
"33","qsvi",5,1.04164603482841,0.869359544546901,1.25244929649923,"Negative binomial","(0.683,1]","Negative binomial"
"34","apINDPOV",2,1.01176753814006,0.829867090718814,1.23484710667498,"BYM","5-9.9%","BYM"
"35","apINDPOV",3,1.17500308663566,0.966000020661964,1.43058319274195,"BYM","10-19.9%","BYM"
"36","apINDPOV",4,0.998002757232734,0.811711670233346,1.22726253027903,"BYM","20-100%","BYM"
"37","qICEwnhinc",1,1.11683580703669,0.925495915952482,1.34848036241852,"BYM","[-0.711,0.0557]","BYM"
"38","qICEwnhinc",2,1.28508926982067,1.06243870215359,1.55460669322658,"BYM","(0.0557,0.238]","BYM"
"39","qICEwnhinc",3,1.28203175559458,1.04490170641733,1.57329868647281,"BYM","(0.238,0.358]","BYM"
"40","qICEwnhinc",4,1.10365607152257,0.898249174735058,1.35619787679793,"BYM","(0.358,0.464]","BYM"
"41","qsvi",2,0.908088072628777,0.725010286712079,1.13759983117883,"BYM","(0.125,0.246]","BYM"
"42","qsvi",3,0.932066520247813,0.757822222515521,1.1483334325291,"BYM","(0.246,0.407]","BYM"
"43","qsvi",4,1.01902108974075,0.837128618782855,1.24275812141331,"BYM","(0.407,0.683]","BYM"
"44","qsvi",5,0.953052534196117,0.783550331219274,1.1620772187727,"BYM","(0.683,1]","BYM"
"45","apINDPOV",NA,1.04295349584041,0.618148037331,1.75969497401036,"Aggregated","5-9.9%","Aggregated"
"46","apINDPOV",NA,1.32409723738108,0.80726287636826,2.17182474924118,"Aggregated","10-19.9%","Aggregated"
"47","apINDPOV",NA,1.14489518267909,0.684619875727988,1.91461718508824,"Aggregated","20-100%","Aggregated"
"48","qICEwnhinc",NA,1.29039431793089,0.79392006083103,2.09733646735843,"Aggregated","[-0.711,0.0557]","Aggregated"
"49","qICEwnhinc",NA,1.42302599459299,0.85710484214618,2.36260826180469,"Aggregated","(0.0557,0.238]","Aggregated"
"50","qICEwnhinc",NA,1.36522883149406,0.785549775306079,2.37266920688305,"Aggregated","(0.238,0.358]","Aggregated"
"51","qICEwnhinc",NA,1.15463036931,0.650792823190955,2.04853409906421,"Aggregated","(0.358,0.464]","Aggregated"
"52","qsvi",NA,0.876654049377035,0.469308309389449,1.6375638506997,"Aggregated","(0.125,0.246]","Aggregated"
"53","qsvi",NA,0.840749432122958,0.477090543193679,1.48160473457157,"Aggregated","(0.246,0.407]","Aggregated"
"54","qsvi",NA,0.995524946419642,0.575092773486806,1.72332180934033,"Aggregated","(0.407,0.683]","Aggregated"
"55","qsvi",NA,0.993009029428305,0.581109824422573,1.69686845942755,"Aggregated","(0.683,1]","Aggregated"
