"","term","estimate_Poisson","conf.low_Poisson","conf.high_Poisson","estimate_Quasipoisson","conf.low_Quasipoisson","conf.high_Quasipoisson","estimate_Negative binomial","conf.low_Negative binomial","conf.high_Negative binomial","estimate_Multilevel","conf.low_Multilevel","conf.high_Multilevel"
"1","apINDPOV",1.06682473926723,0.913532090179461,1.24961004683759,1.06682473926723,0.862406393490929,1.32726780013448,1.04623740182593,0.873692046351691,1.25548814320537,0.98376683212288,0.822789868587162,1.17623857188096
"2","apINDPOV",1.34727563474775,1.16381748463846,1.56570277332584,1.34727563474775,1.10255471934715,1.65842433933351,1.32913049340617,1.12039586113137,1.58102739050784,1.13800286331469,0.946729780978117,1.36791991012941
"3","apINDPOV",1.18684482704722,1.01902490058802,1.38685542176557,1.18684482704722,0.963031446037183,1.47180820992718,1.1765306232596,0.985939638866289,1.40721937565835,1.0000332530975,0.819165926598667,1.22083508948333
"4","qICEwnhinc",1.32675802435504,1.14787454925255,1.53867877032089,1.32675802435504,1.08479440358758,1.6333552872031,1.31726909053039,1.11696093751647,1.55749820802554,1.13586693589764,0.941027022850827,1.37104850842314
"5","qICEwnhinc",1.44407686328563,1.24066369075805,1.68537085997738,1.44407686328563,1.16901182715928,1.79325108151616,1.417395722464,1.19146808958319,1.68961470860389,1.29640069952509,1.08216869699195,1.553043234757
"6","qICEwnhinc",1.36841658182526,1.15926445627795,1.61736142324006,1.36841658182526,1.0858008140786,1.72888005738499,1.33808099027466,1.10494067701506,1.62199058697228,1.36798041813593,1.13985075775009,1.6417679346875
"7","qICEwnhinc",1.16492705271261,0.981482646820803,1.38361497769559,1.16492705271261,0.917133496339564,1.48166771463265,1.14191584109701,0.939529697734699,1.38866110277045,1.12927056731129,0.945543936485033,1.34869672892851
"8","qsvi",0.919362060509589,0.762710111158126,1.10985398110409,0.919362060509589,0.711315390715364,1.19163784126448,0.900608063126274,0.729066132464957,1.11378729367325,1.01019315859343,0.830844435343596,1.2282566678646
"9","qsvi",0.87901071730153,0.742721333678086,1.04402789132564,0.87901071730153,0.697843688365132,1.11470547990556,0.86259262734949,0.710996573454227,1.04931018804088,1.0541745689216,0.879783491477762,1.26313352378827
"10","qsvi",1.04187657398089,0.885143778398551,1.23144880838712,1.04187657398089,0.833489226918719,1.31259610122017,1.03110108388225,0.855655273618387,1.2464094706065,1.07222403187617,0.894328521803825,1.28550565760103
"11","qsvi",1.05077916264887,0.896744398735111,1.23695167670213,1.05077916264887,0.845947663337338,1.31661093616517,1.04164603482841,0.869359544546901,1.25244929649923,0.976010515173417,0.801769265204316,1.18811803728386
