"age","num_0.y","den_0.y","rate_i_0.y","num_1.y","den_1.y","rate_i_1.y","irr_age.y","num_0.x","den_0.x","rate_i_0.x","num_1.x","den_1.x","rate_i_1.x","irr_age.x","num_0","den_0","rate_i_0","num_1","den_1","rate_i_1","irr_age"
"0-4",769,1068730,4.97457870556642,316,177968,12.2756113458599,2.46766853484977,766,1068730,4.95517202661102,277,177968,10.7605833633013,2.17158623464799,0.996098829648895,1,0.996098829648895,0.876582278481013,1,0.876582278481013,0.880015368344515
"5-9",90,1147677,0.568798538264686,14,172883,0.587369492662668,1.0326494411442,88,1147677,0.556158570747693,12,172883,0.503459565139429,0.905244639964074,0.977777777777778,1,0.977777777777778,0.857142857142857,1,0.857142857142857,0.876623376623376
"10-14",114,1301178,0.639854654782051,29,176597,1.19930010136073,1.87433207275679,114,1301178,0.639854654782051,25,176597,1.03387939772476,1.61580351099724,1,1,1,0.862068965517241,1,0.862068965517241,0.862068965517241
"15-19",371,1533896,1.74553548610858,100,198678,3.63246056433022,2.0810006976302,371,1533896,1.74553548610858,88,198678,3.1965652966106,1.83128061391458,1,1,1,0.88,1,0.88,0.88
"20-24",1103,1611714,4.54951895931908,163,224987,4.81624004942508,1.05862621795644,1102,1611714,4.54539428211209,155,224987,4.57986016969869,1.00758259579862,0.99909338168631,1,0.99909338168631,0.950920245398773,1,0.950920245398773,0.95178314943271
"25-29",1788,1615532,7.14178685411369,244,212885,7.39604763135026,1.03560184340843,1787,1615532,7.13779256616396,218,212885,6.60794419522277,0.925768594978105,0.999440715883669,1,0.999440715883669,0.89344262295082,1,0.89344262295082,0.89394259084279
"30-34",2079,1518953,9.72383450969187,213,183138,8.26282475510271,0.849749627769482,2078,1518953,9.71915734061554,194,183138,7.52576526990575,0.774322814844885,0.999518999518999,1,0.999518999519,0.910798122065728,1,0.910798122065728,0.911236427225528
"35-44",4846,2873290,27.4257940548987,517,334861,25.1062145188601,0.915423431992688,4846,2873290,27.4257940548987,496,334861,24.0864263082294,0.878239888333411,1,1,1,0.959381044487427,1,0.959381044487427,0.959381044487427
"45-54",12386,3756899,44.4529896598232,1165,325584,48.2461085311318,1.08532876866855,12386,3756899,44.4529896598232,1113,325584,46.0926341589267,1.03688490946618,1,1,1,0.955364806866953,1,0.955364806866953,0.955364806866953
"55-64",25334,3735786,59.1660094555737,1997,262045,66.4894422713656,1.12377770417812,25326,3735786,59.1473259442591,1899,262045,63.2265652845885,1.06896743470996,0.999684218836346,1,0.999684218836346,0.950926389584377,1,0.950926389584377,0.951226769080415
"65-74",38765,2527556,101.280616730154,2282,139490,108.033861925586,1.06667855522074,38752,2527556,101.246651864489,2081,139490,98.5181711950678,0.973051151626496,0.999664645943506,1,0.999664645943506,0.911919368974584,1,0.911919368974584,0.912225287425158
"75-84",58096,1335819,195.017643557997,2374,67943,156.679178134613,0.803410272404494,58057,1335819,194.886727692899,1974,67943,130.279990580339,0.668490831174681,0.99932869732856,1,0.99932869732856,0.83150800336984,1,0.83150800336984,0.832066571882361
"85+",101687,711624,221.600451361955,2571,23810,167.45513649727,0.755662434205759,101585,711624,221.378168808247,1787,23810,116.391415371693,0.525758325666287,0.99899692192709,1,0.99899692192709,0.695060287825749,1,0.695060287825749,0.695758187607786
